记录时间：2019-03-05 09:32:44,488 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-03-05 09:32:47,274 详细信息：获得手动触发启动参数：59
记录时间：2019-03-05 09:32:47,277 详细信息：**********执行【EDI数据同步回DABAN】数据传输开始**********
记录时间：2019-03-05 09:32:47,281 详细信息：执行主数据同步
记录时间：2019-03-05 09:32:49,593 详细信息：执行EDI行主数据同步
记录时间：2019-03-05 09:32:51,508 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【成功数据】：2条
记录时间：2019-03-05 09:32:51,555 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【错误数据过滤】：0条
记录时间：2019-03-05 09:32:51,555 详细信息：**********执行【EDI数据同步回DABAN】数据传输完毕**********
记录时间：2019-03-05 09:32:51,555 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-03-05 09:41:30,129 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-03-05 09:41:32,012 详细信息：获得手动触发启动参数：59
记录时间：2019-03-05 09:41:32,017 详细信息：**********执行【EDI数据同步回DABAN】数据传输开始**********
记录时间：2019-03-05 09:41:32,021 详细信息：执行主数据同步
记录时间：2019-03-05 09:41:33,352 详细信息：执行EDI行主数据同步
记录时间：2019-03-05 09:41:33,365 详细信息：文件Delta_invoice_20190304130722.csv移动至F:\EDI\Queue\Delta_invoice_20190304130722.csv
记录时间：2019-03-05 09:41:34,925 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【成功数据】：2条
记录时间：2019-03-05 09:41:34,929 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【错误数据过滤】：0条
记录时间：2019-03-05 09:41:34,932 详细信息：**********执行【EDI数据同步回DABAN】数据传输完毕**********
记录时间：2019-03-05 09:41:34,935 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-03-05 09:43:47,936 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-03-05 09:43:49,504 详细信息：获得手动触发启动参数：59
记录时间：2019-03-05 09:43:49,511 详细信息：**********执行【EDI数据同步回DABAN】数据传输开始**********
记录时间：2019-03-05 09:43:49,519 详细信息：执行主数据同步
记录时间：2019-03-05 09:43:51,252 详细信息：执行EDI行主数据同步
记录时间：2019-03-05 09:43:51,265 详细信息：文件Delta_invoice_20190304130722 - 副本.csv移动至F:\EDI\Queue\Delta_invoice_20190304130722 - 副本.csv
记录时间：2019-03-05 09:43:51,269 详细信息：文件Delta_invoice_20190304130722.csv移动至F:\EDI\Queue\Delta_invoice_20190304130722.csv
记录时间：2019-03-05 09:43:52,691 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【成功数据】：4条
记录时间：2019-03-05 09:43:52,695 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【错误数据过滤】：0条
记录时间：2019-03-05 09:43:52,701 详细信息：**********执行【EDI数据同步回DABAN】数据传输完毕**********
记录时间：2019-03-05 09:43:52,705 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-03-05 09:43:55,173 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-03-05 09:44:45,604 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-03-05 09:44:47,910 详细信息：获得手动触发启动参数：59
记录时间：2019-03-05 09:44:47,915 详细信息：**********执行【EDI数据同步回DABAN】数据传输开始**********
记录时间：2019-03-05 09:44:47,924 详细信息：执行主数据同步
记录时间：2019-03-05 09:44:47,987 详细信息：执行EDI行主数据同步
记录时间：2019-03-05 09:44:48,006 详细信息：文件Delta_invoice_20190304130722 - 副本.csv移动至F:\EDI\Queue\Delta_invoice_20190304130722 - 副本.csv
记录时间：2019-03-05 09:44:48,010 详细信息：文件Delta_invoice_20190304130722.csv移动至F:\EDI\Queue\Delta_invoice_20190304130722.csv
记录时间：2019-03-05 09:44:48,035 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【成功数据】：4条
记录时间：2019-03-05 09:44:48,038 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【错误数据过滤】：0条
记录时间：2019-03-05 09:44:48,044 详细信息：**********执行【EDI数据同步回DABAN】数据传输完毕**********
记录时间：2019-03-05 09:44:48,047 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-03-05 09:47:06,131 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-03-05 09:47:08,763 详细信息：获得手动触发启动参数：59
记录时间：2019-03-05 09:47:08,770 详细信息：**********执行【EDI数据同步回DABAN】数据传输开始**********
